Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","03/01/2016","1971","N105UW","CLT","00:11","23:59","106","98","-12","23:56","3","0","0","0","0","0"
"AA","03/01/2016","2036","N107US","CLT","18:10","18:03","110","107","-7","18:00","3","0","0","0","0","0"
"AA","03/01/2017","1835","N114AA","CLT","23:57","00:00","106","0","0","00:00","0","0","0","0","0","0"
"AA","03/01/2017","2036","N708AA","CLT","18:29","19:03","113","136","34","18:57","6","11","0","23","0","0"
"AA","03/01/2018","1794","N540UW","CLT","00:15","00:26","110","112","11","00:21","5","0","0","0","0","0"
"AA","03/01/2018","2036","N768US","CLT","18:32","18:04","118","93","-28","18:00","4","0","0","0","0","0"
"AA","03/01/2019","1932","N802AW","CLT","15:20","15:42","115","95","22","15:37","5","7","0","0","0","15"
"AA","03/01/2019","1976","N125UW","CLT","00:05","00:11","110","100","6","00:06","5","0","0","0","0","0"
"AA","03/01/2022","0404","N352PS","CLT","16:29","16:24","106","106","-5","16:20","4","0","0","0","0","0"
"AA","03/01/2022","1348","N822AW","DFW","23:00","01:39","180","185","159","01:35","4","10","0","5","0","144"
"AA","03/01/2022","2730","N114UW","CLT","11:01","11:39","106","121","38","11:35","4","23","0","15","0","0"
"AA","03/01/2023","0404","N768US","CLT","18:10","17:55","107","94","-15","17:52","3","0","0","0","0","0"
"AA","03/01/2023","1880","N806AW","DFW","22:43","22:24","182","156","-19","22:20","4","0","0","0","0","0"
"AA","03/02/2016","1971","N753US","CLT","00:11","23:57","106","99","-14","23:52","5","0","0","0","0","0"
"AA","03/02/2016","2036","N714US","CLT","18:10","18:12","110","106","2","18:07","5","0","0","0","0","0"
"AA","03/02/2017","1835","N102AA","CLT","23:57","24:00","106","105","3","23:56","4","0","0","0","0","0"
"AA","03/02/2017","2036","N717AA","CLT","18:29","18:25","113","98","-4","18:22","3","0","0","0","0","0"
"AA","03/02/2018","1794","N920US","CLT","00:15","00:05","110","107","-10","23:59","6","0","0","0","0","0"
"AA","03/02/2018","2036","N770UW","CLT","18:32","18:17","118","108","-15","18:12","5","0","0","0","0","0"
"AA","03/02/2019","1932","N821AW","CLT","15:20","15:03","115","98","-17","14:59","4","0","0","0","0","0"
"AA","03/02/2019","1976","N111US","CLT","00:05","23:52","110","99","-13","23:48","4","0","0","0","0","0"
"AA","03/02/2022","0404","N906NN","CLT","16:29","16:36","106","115","7","16:31","5","0","0","0","0","0"
"AA","03/02/2022","1348","N752US","DFW","23:00","23:02","180","184","2","22:56","6","0","0","0","0","0"
"AA","03/02/2022","1976","N837NN","CLT","00:37","01:26","113","172","49","01:18","8","0","0","49","0","0"
"AA","03/02/2022","2730","N659AW","CLT","11:01","11:25","106","120","24","11:21","4","10","0","14","0","0"
"AA","03/02/2023","0404","N704US","CLT","18:10","18:09","107","113","-1","18:03","6","0","0","0","0","0"
"AA","03/02/2023","1880","N778XF","DFW","22:43","23:57","182","168","74","23:50","7","0","74","0","0","0"
"AA","03/03/2016","1971","N753US","CLT","00:11","23:46","106","89","-25","23:43","3","0","0","0","0","0"
"AA","03/03/2016","2036","N701UW","CLT","18:10","17:45","110","92","-25","17:41","4","0","0","0","0","0"
"AA","03/03/2017","1835","N117AA","CLT","23:57","23:53","106","107","-4","23:47","6","0","0","0","0","0"
"AA","03/03/2017","2036","N714AA","CLT","18:29","18:49","113","130","20","18:44","5","3","0","17","0","0"
"AA","03/03/2018","1794","N165US","CLT","00:15","00:27","110","116","12","00:22","5","0","0","0","0","0"
"AA","03/03/2018","2036","N835AW","CLT","18:32","18:18","118","109","-14","18:15","3","0","0","0","0","0"
"AA","03/03/2019","1932","N747UW","CLT","15:16","15:13","111","112","-3","15:08","5","0","0","0","0","0"
"AA","03/03/2019","1976","N105UW","CLT","00:03","00:50","108","105","47","00:42","8","18","0","0","0","29"
"AA","03/03/2022","0404","N185UW","CLT","16:38","16:31","114","110","-7","16:24","7","0","0","0","0","0"
"AA","03/03/2022","0421","N807AW","DFW","22:41","22:32","186","181","-9","22:28","4","0","0","0","0","0"
"AA","03/03/2022","1976","N713UW","CLT","00:32","00:24","112","110","-8","00:19","5","0","0","0","0","0"
"AA","03/03/2022","2730","N118US","CLT","11:01","10:55","111","107","-6","10:51","4","0","0","0","0","0"
"AA","03/03/2023","0404","N763US","CLT","18:10","17:56","107","97","-14","17:53","3","0","0","0","0","0"
"AA","03/03/2023","1880","N807AW","DFW","22:43","00:00","182","0","0","00:00","0","0","0","0","0","0"
"AA","03/04/2016","1971","N753US","CLT","00:11","23:56","106","100","-15","23:52","4","0","0","0","0","0"
"AA","03/04/2016","2036","N717UW","CLT","18:10","18:00","110","106","-10","17:54","6","0","0","0","0","0"
"AA","03/04/2017","2036","N701AA","CLT","18:29","18:23","113","113","-6","18:20","3","0","0","0","0","0"
"AA","03/04/2018","1794","N568UW","CLT","00:15","00:22","110","116","7","00:16","6","0","0","0","0","0"
"AA","03/04/2019","1932","N722US","CLT","15:16","15:30","111","96","14","15:27","3","0","0","0","0","0"
"AA","03/04/2019","1976","N127UW","CLT","00:03","23:51","108","98","-12","23:47","4","0","0","0","0","0"
"AA","03/04/2022","0404","N914UY","CLT","16:38","16:29","114","110","-9","16:23","6","0","0","0","0","0"
"AA","03/04/2022","0421","N813AW","DFW","22:41","22:29","186","177","-12","22:24","5","0","0","0","0","0"
"AA","03/04/2022","1976","N836AW","CLT","00:32","00:16","112","100","-16","00:10","6","0","0","0","0","0"
"AA","03/04/2022","2730","N114UW","CLT","11:01","10:58","111","113","-3","10:53","5","0","0","0","0","0"
"AA","03/04/2023","0404","N173US","CLT","18:20","18:06","110","101","-14","18:01","5","0","0","0","0","0"
"AA","03/04/2023","1880","N828AW","DFW","22:43","22:43","182","183","0","22:32","11","0","0","0","0","0"
"AA","03/05/2016","2036","N833AW","CLT","18:10","17:53","110","98","-17","17:50","3","0","0","0","0","0"
"AA","03/05/2017","1835","N112AA","CLT","00:01","23:59","106","103","-2","23:56","3","0","0","0","0","0"
"AA","03/05/2017","2036","N820AA","CLT","18:29","18:31","113","118","2","18:28","3","0","0","0","0","0"
"AA","03/05/2018","1794","N195UW","CLT","00:15","00:08","110","108","-7","00:03","5","0","0","0","0","0"
"AA","03/05/2018","2036","N815AW","CLT","18:32","18:51","118","128","19","18:47","4","9","0","10","0","0"
"AA","03/05/2019","1932","N838AW","CLT","15:16","15:04","111","95","-12","15:00","4","0","0","0","0","0"
"AA","03/05/2019","1976","N126UW","CLT","00:03","00:18","108","113","15","00:12","6","10","0","5","0","0"
"AA","03/05/2022","0404","N197UW","CLT","16:49","16:26","116","98","-23","16:22","4","0","0","0","0","0"
"AA","03/05/2022","0421","N751UW","DFW","22:41","22:32","186","166","-9","22:27","5","0","0","0","0","0"
"AA","03/05/2022","1976","N756US","CLT","00:32","00:23","112","106","-9","00:18","5","0","0","0","0","0"
"AA","03/05/2022","2730","N844NN","CLT","11:01","11:23","111","117","22","11:18","5","0","0","6","0","16"
"AA","03/05/2023","0404","N552UW","CLT","18:10","18:45","107","106","35","18:42","3","35","0","0","0","0"
"AA","03/05/2023","1880","N835AW","DFW","22:43","22:56","182","185","13","22:43","13","0","0","0","0","0"
"AA","03/06/2016","1971","N814AW","CLT","00:11","00:11","106","111","0","00:06","5","0","0","0","0","0"
"AA","03/06/2016","2036","N748UW","CLT","18:10","18:08","110","110","-2","18:05","3","0","0","0","0","0"
"AA","03/06/2017","1835","N107AA","CLT","00:01","23:52","106","101","-9","23:48","4","0","0","0","0","0"
"AA","03/06/2017","2036","N713AA","CLT","18:29","18:21","113","111","-8","18:17","4","0","0","0","0","0"
"AA","03/06/2018","1794","N189UW","CLT","00:15","00:01","110","99","-14","23:57","4","0","0","0","0","0"
"AA","03/06/2018","2036","N721UW","CLT","18:32","18:13","118","97","-19","18:10","3","0","0","0","0","0"
"AA","03/06/2019","1932","N713UW","CLT","15:16","15:23","111","117","7","15:16","7","0","0","0","0","0"
"AA","03/06/2019","1976","N122US","CLT","00:03","00:32","108","116","29","00:28","4","21","0","8","0","0"
"AA","03/06/2022","0404","N924US","CLT","16:38","16:15","114","99","-23","16:10","5","0","0","0","0","0"
"AA","03/06/2022","0421","N746UW","DFW","22:41","23:00","186","189","19","22:56","4","0","16","3","0","0"
"AA","03/06/2022","1976","N712US","CLT","00:32","00:14","112","101","-18","00:09","5","0","0","0","0","0"
