Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","03/01/2006","7245","N77195","IAD","13:59","13:51","74","76","-8","13:46","5","0","0","0","0","0"
"YV","03/01/2007","2642","N908FJ","CLT","18:08","20:18","113","111","130","20:14","4","130","0","0","0","0"
"YV","03/01/2009","7151","N75996","ORD","08:46","08:33","106","96","-13","08:28","5","0","0","0","0","0"
"YV","03/01/2009","7205","N77331","IAD","18:25","18:19","80","60","-6","18:16","3","0","0","0","0","0"
"YV","03/01/2010","7267","N506MJ","IAD","13:36","13:42","75","81","6","13:38","4","0","0","0","0","0"
"YV","03/01/2010","7287","N515MJ","ORD","19:27","19:18","100","95","-9","19:13","5","0","0","0","0","0"
"YV","03/01/2011","7215","N503MJ","IAD","23:30","23:19","70","70","-11","23:15","4","0","0","0","0","0"
"YV","03/01/2011","7244","N518LR","ORD","16:10","16:10","99","93","0","16:07","3","0","0","0","0","0"
"YV","03/01/2012","3734","N518LR","ORD","22:39","22:40","103","93","1","22:35","5","0","0","0","0","0"
"YV","03/01/2012","3751","N502MJ","IAD","18:34","18:25","71","67","-9","18:21","4","0","0","0","0","0"
"YV","03/01/2013","3731","N509MJ","ORD","16:37","18:33","102","101","116","18:22","11","0","116","0","0","0"
"YV","03/01/2013","3755","N515MJ","IAD","09:39","09:19","79","69","-20","09:15","4","0","0","0","0","0"
"YV","03/01/2019","6104","N505MJ","IAD","23:20","22:53","80","59","-27","22:50","3","0","0","0","0","0"
"YV","03/01/2019","6128","N503MJ","IAD","13:44","13:30","74","63","-14","13:27","3","0","0","0","0","0"
"YV","03/01/2020","6272","N521LR","IAD","18:52","19:27","77","67","35","19:23","4","35","0","0","0","0"
"YV","03/02/2006","7245","N75983","IAD","13:59","13:38","74","61","-21","13:35","3","0","0","0","0","0"
"YV","03/02/2007","2642","N921FJ","CLT","18:08","18:28","113","88","20","18:24","4","20","0","0","0","0"
