Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","03/01/2018","3516","","EWR","22:52","00:00","82","0","0","00:00","0","0","0","0","0","0"
"YX","03/01/2018","3727","N752YX","ORD","10:03","09:45","113","96","-18","09:41","4","0","0","0","0","0"
"YX","03/01/2018","4537","N102HQ","PHL","21:57","00:00","72","0","0","00:00","0","0","0","0","0","0"
"YX","03/01/2018","4544","N132HQ","PHL","14:24","13:58","73","56","-26","13:55","3","0","0","0","0","0"
"YX","03/01/2018","4588","N421YX","DCA","12:55","13:24","79","82","29","13:21","3","4","0","3","0","22"
"YX","03/01/2018","5877","N875RW","LGA","23:00","00:22","70","57","82","00:16","6","58","0","0","0","24"
"YX","03/01/2019","3500","N656RW","EWR","22:59","23:38","74","71","39","23:33","5","30","0","0","0","9"
"YX","03/01/2019","3623","N856RW","ORD","11:49","11:30","109","94","-19","11:26","4","0","0","0","0","0"
"YX","03/01/2019","4475","N102HQ","DCA","11:14","11:13","74","79","-1","11:09","4","0","0","0","0","0"
"YX","03/01/2019","5987","N206JQ","DTW","17:20","16:57","99","76","-23","16:50","7","0","0","0","0","0"
"YX","03/01/2022","3467","N647RW","ORD","16:41","16:19","116","99","-22","16:13","6","0","0","0","0","0"
"YX","03/01/2023","3510","N730YX","EWR","13:16","13:03","77","66","-13","12:55","8","0","0","0","0","0"
"YX","03/01/2023","4419","N409YX","ORD","19:14","18:52","109","94","-22","18:48","4","0","0","0","0","0"
"YX","03/01/2023","4759","N433YX","DCA","23:55","23:34","82","71","-21","23:28","6","0","0","0","0","0"
"YX","03/01/2023","4783","N103HQ","DCA","17:07","16:49","91","78","-18","16:46","3","0","0","0","0","0"
"YX","03/01/2023","4798","N126HQ","DCA","11:08","11:00","83","82","-8","10:55","5","0","0","0","0","0"
"YX","03/01/2023","5663","N860RW","LGA","14:46","14:33","77","73","-13","14:27","6","0","0","0","0","0"
"YX","03/01/2023","5675","N213JQ","LGA","09:58","09:43","88","79","-15","09:34","9","0","0","0","0","0"
"YX","03/02/2018","3516","","EWR","22:52","00:00","82","0","0","00:00","0","0","0","0","0","0"
"YX","03/02/2018","3727","N733YX","ORD","10:03","09:57","113","113","-6","09:47","10","0","0","0","0","0"
"YX","03/02/2018","4537","N104HQ","PHL","21:57","00:00","72","0","0","00:00","0","0","0","0","0","0"
"YX","03/02/2018","4544","N102HQ","PHL","14:24","00:00","73","0","0","00:00","0","0","0","0","0","0"
"YX","03/02/2018","4588","N406YX","DCA","12:55","00:00","79","0","0","00:00","0","0","0","0","0","0"
"YX","03/02/2019","3500","N633RW","EWR","22:59","22:52","74","59","-7","22:48","4","0","0","0","0","0"
"YX","03/02/2022","3467","N647RW","ORD","16:41","16:25","116","110","-16","16:20","5","0","0","0","0","0"
"YX","03/02/2023","3510","N746YX","EWR","13:16","13:17","77","86","1","13:09","8","0","0","0","0","0"
"YX","03/02/2023","4401","N441YX","ORD","16:24","16:03","124","108","-21","15:58","5","0","0","0","0","0"
"YX","03/02/2023","4447","N441YX","ORD","22:40","22:10","120","96","-30","22:07","3","0","0","0","0","0"
"YX","03/02/2023","4759","N104HQ","DCA","23:55","23:54","82","89","-1","23:48","6","0","0","0","0","0"
"YX","03/02/2023","4783","N113HQ","DCA","17:07","17:35","91","123","28","17:31","4","0","0","28","0","0"
"YX","03/02/2023","4798","N109HQ","DCA","11:08","11:06","83","86","-2","11:02","4","0","0","0","0","0"
"YX","03/02/2023","5663","N810MD","LGA","14:46","14:51","77","76","5","14:45","6","0","0","0","0","0"
"YX","03/02/2023","5675","N221JQ","LGA","09:58","09:34","88","74","-24","09:18","16","0","0","0","0","0"
"YX","03/03/2018","3516","N730YX","EWR","22:52","22:39","82","58","-13","22:34","5","0","0","0","0","0"
"YX","03/03/2018","4537","N412YX","PHL","21:57","23:17","72","66","80","23:11","6","80","0","0","0","0"
"YX","03/03/2018","4544","N124HQ","PHL","14:24","15:06","73","72","42","15:02","4","42","0","0","0","0"
"YX","03/03/2019","3500","N633RW","EWR","22:59","00:00","74","0","0","00:00","0","0","0","0","0","0"
"YX","03/03/2019","4475","N122HQ","DCA","11:16","10:55","76","63","-21","10:50","5","0","0","0","0","0"
"YX","03/03/2022","3467","N644RW","ORD","16:41","16:15","116","94","-26","16:10","5","0","0","0","0","0"
"YX","03/03/2023","3564","N748YX","EWR","13:44","13:26","77","61","-18","13:22","4","0","0","0","0","0"
"YX","03/03/2023","4401","N115HQ","ORD","16:24","16:03","124","105","-21","15:59","4","0","0","0","0","0"
"YX","03/03/2023","4426","N109HQ","DCA","23:56","00:35","82","72","39","00:28","7","0","22","0","0","17"
"YX","03/03/2023","4783","N438YX","DCA","17:07","17:13","91","99","6","17:09","4","0","0","0","0","0"
"YX","03/03/2023","4798","N135HQ","DCA","10:56","10:38","81","71","-18","10:33","5","0","0","0","0","0"
"YX","03/03/2023","5663","N818MD","LGA","14:46","14:35","77","75","-11","14:27","8","0","0","0","0","0"
"YX","03/03/2023","5675","N240JQ","LGA","09:58","09:34","88","71","-24","09:21","13","0","0","0","0","0"
"YX","03/04/2018","3516","N748YX","EWR","22:52","22:54","82","68","2","22:46","8","0","0","0","0","0"
"YX","03/04/2018","4537","N107HQ","PHL","21:57","22:02","72","77","5","21:58","4","0","0","0","0","0"
"YX","03/04/2018","4544","N444YX","PHL","14:24","14:10","73","61","-14","14:06","4","0","0","0","0","0"
"YX","03/04/2018","4588","N423YX","DCA","12:55","12:49","79","78","-6","12:44","5","0","0","0","0","0"
"YX","03/04/2019","3500","N861RW","EWR","22:59","23:48","74","85","49","23:44","4","5","0","11","0","33"
"YX","03/04/2019","3623","N644RW","ORD","11:49","11:38","109","101","-11","11:34","4","0","0","0","0","0"
"YX","03/04/2019","4475","N133HQ","DCA","11:16","11:11","76","73","-5","11:07","4","0","0","0","0","0"
"YX","03/04/2022","3571","N655RW","EWR","17:39","17:58","70","72","19","17:54","4","0","0","2","0","17"
"YX","03/04/2022","4616","N410YX","DCA","23:51","23:29","92","77","-22","23:23","6","0","0","0","0","0"
"YX","03/04/2023","3564","N748YX","EWR","13:50","00:00","79","0","0","00:00","0","0","0","0","0","0"
"YX","03/04/2023","4401","N109HQ","ORD","16:30","16:09","124","109","-21","16:05","4","0","0","0","0","0"
"YX","03/04/2023","4414","N450YX","ORD","22:40","22:26","120","109","-14","22:20","6","0","0","0","0","0"
"YX","03/04/2023","4783","N419YX","DCA","16:25","16:25","86","86","0","16:20","5","0","0","0","0","0"
"YX","03/04/2023","4798","N445YX","DCA","10:44","10:24","79","65","-20","10:20","4","0","0","0","0","0"
"YX","03/05/2018","3516","N731YX","EWR","22:52","22:47","82","61","-5","22:42","5","0","0","0","0","0"
"YX","03/05/2018","3727","N742YX","ORD","10:03","09:53","113","108","-10","09:44","9","0","0","0","0","0"
"YX","03/05/2018","4537","N121HQ","PHL","21:57","21:49","72","74","-8","21:45","4","0","0","0","0","0"
"YX","03/05/2018","4544","N132HQ","PHL","14:24","14:20","73","72","-4","14:13","7","0","0","0","0","0"
"YX","03/05/2018","4588","N417YX","DCA","12:55","12:47","79","80","-8","12:43","4","0","0","0","0","0"
"YX","03/05/2019","3500","N863RW","EWR","22:59","23:01","74","70","2","22:49","12","0","0","0","0","0"
"YX","03/05/2019","3623","N855RW","ORD","11:49","11:47","109","111","-2","11:43","4","0","0","0","0","0"
"YX","03/05/2019","4475","N138HQ","DCA","11:16","11:09","76","75","-7","11:04","5","0","0","0","0","0"
"YX","03/05/2022","3499","N862RW","EWR","22:24","22:14","69","61","-10","22:08","6","0","0","0","0","0"
"YX","03/05/2022","4509","N120HQ","MIA","23:00","22:38","192","179","-22","22:33","5","0","0","0","0","0"
"YX","03/05/2022","4599","N403YX","DCA","11:00","10:47","78","72","-13","10:42","5","0","0","0","0","0"
"YX","03/05/2023","3564","N742YX","EWR","13:49","13:42","79","66","-7","13:35","7","0","0","0","0","0"
"YX","03/05/2023","4401","N439YX","ORD","16:24","15:57","124","102","-27","15:53","4","0","0","0","0","0"
"YX","03/05/2023","4447","N114HQ","ORD","22:40","22:24","120","109","-16","22:16","8","0","0","0","0","0"
"YX","03/05/2023","4759","N123HQ","DCA","23:55","00:02","82","81","7","23:57","5","0","0","0","0","0"
"YX","03/05/2023","4783","N432YX","DCA","17:07","17:03","91","77","-4","16:59","4","0","0","0","0","0"
"YX","03/05/2023","4798","N123HQ","DCA","11:12","11:21","83","87","9","11:17","4","0","0","0","0","0"
"YX","03/05/2023","5663","N823MD","LGA","14:08","13:56","78","69","-12","13:46","10","0","0","0","0","0"
"YX","03/06/2018","3516","N729YX","EWR","22:52","22:15","82","52","-37","22:10","5","0","0","0","0","0"
"YX","03/06/2018","3727","N739YX","ORD","10:03","09:40","113","99","-23","09:37","3","0","0","0","0","0"
