Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","03/01/2022","0207","N253WN","BWI","13:10","13:08","75","59","-2","13:06","2","0","0","0","0","0"
"WN","03/01/2022","1673","N289CT","BWI","16:10","16:45","75","69","35","16:42","3","8","0","0","0","27"
"WN","03/01/2022","2216","N404WN","BWI","22:45","23:04","65","65","19","23:01","3","16","0","0","0","3"
"WN","03/01/2023","1003","N8614M","BWI","12:00","12:01","70","70","1","11:58","3","0","0","0","0","0"
"WN","03/01/2023","1556","N275WN","BWI","22:55","22:44","70","59","-11","22:41","3","0","0","0","0","0"
"WN","03/01/2023","2309","N912WN","BWI","16:15","16:16","70","67","1","16:13","3","0","0","0","0","0"
"WN","03/02/2022","0207","N968WN","BWI","13:10","12:45","75","58","-25","12:42","3","0","0","0","0","0"
"WN","03/02/2022","1673","N7845A","BWI","16:10","15:51","75","58","-19","15:49","2","0","0","0","0","0"
"WN","03/02/2022","2216","N201LV","BWI","22:45","23:04","65","62","19","23:00","4","19","0","0","0","0"
"WN","03/02/2023","1003","N954WN","BWI","12:00","11:46","70","62","-14","11:43","3","0","0","0","0","0"
"WN","03/02/2023","1556","N563WN","BWI","22:55","23:13","70","60","18","23:10","3","5","0","0","0","13"
"WN","03/02/2023","2309","N932WN","BWI","16:15","16:14","70","70","-1","16:11","3","0","0","0","0","0"
"WN","03/03/2022","0207","N200WN","BWI","13:10","12:58","75","63","-12","12:55","3","0","0","0","0","0"
"WN","03/03/2022","1673","N251WN","BWI","16:10","16:02","75","61","-8","16:00","2","0","0","0","0","0"
"WN","03/03/2022","2216","N261WN","BWI","22:45","23:08","65","65","23","23:05","3","0","0","0","0","23"
"WN","03/03/2023","1003","N8745K","BWI","12:00","12:00","70","70","0","11:57","3","0","0","0","0","0"
"WN","03/03/2023","1556","N283WN","BWI","22:55","23:37","70","61","42","23:33","4","0","22","0","0","20"
"WN","03/03/2023","2309","N431WN","BWI","16:15","15:58","70","57","-17","15:56","2","0","0","0","0","0"
"WN","03/04/2022","0207","N928WN","BWI","13:10","13:02","75","66","-8","12:59","3","0","0","0","0","0"
"WN","03/04/2022","1673","N949WN","BWI","16:10","15:50","75","60","-20","15:48","2","0","0","0","0","0"
"WN","03/04/2022","2216","N218WN","BWI","22:45","22:46","65","67","1","22:43","3","0","0","0","0","0"
"WN","03/04/2023","1003","N487WN","BWI","12:00","12:07","70","69","7","12:03","4","0","0","0","0","0"
"WN","03/04/2023","2309","N920WN","BWI","15:10","15:09","70","68","-1","15:06","3","0","0","0","0","0"
"WN","03/04/2023","2541","N298WN","BWI","22:00","22:05","70","68","5","22:02","3","0","0","0","0","0"
"WN","03/04/2023","2695","N8807L","MCO","13:45","15:58","160","174","133","15:49","9","16","0","14","0","103"
"WN","03/05/2022","2914","N8670A","BWI","12:25","12:20","70","63","-5","12:17","3","0","0","0","0","0"
"WN","03/05/2022","3004","N472WN","BWI","22:10","22:12","70","58","2","22:10","2","0","0","0","0","0"
"WN","03/05/2022","3479","N8620H","MCO","14:45","14:31","165","155","-14","14:28","3","0","0","0","0","0"
"WN","03/05/2023","1199","N555LV","BWI","16:55","16:55","70","65","0","16:52","3","0","0","0","0","0"
"WN","03/05/2023","1578","N201LV","BWI","12:40","12:45","70","77","5","12:42","3","0","0","0","0","0"
"WN","03/05/2023","2554","N945WN","BWI","23:05","23:13","70","64","8","23:11","2","0","0","0","0","0"
"WN","03/06/2022","0207","N960WN","BWI","13:10","14:41","75","57","91","14:38","3","77","0","0","0","14"
"WN","03/06/2022","1673","N937WN","BWI","16:10","16:31","75","62","21","16:28","3","0","0","0","0","21"
"WN","03/06/2022","2216","N7744A","BWI","22:45","22:46","65","61","1","22:43","3","0","0","0","0","0"
"WN","03/06/2023","1003","N8713M","BWI","12:00","11:56","70","70","-4","11:52","4","0","0","0","0","0"
"WN","03/06/2023","1556","N459WN","BWI","22:55","22:56","70","62","1","22:54","2","0","0","0","0","0"
"WN","03/06/2023","2309","N7739A","BWI","16:15","16:23","70","68","8","16:21","2","0","0","0","0","0"
"WN","03/07/2022","0207","N7886A","BWI","13:10","12:50","75","56","-20","12:47","3","0","0","0","0","0"
"WN","03/07/2022","1673","N909WN","BWI","16:10","16:21","75","60","11","16:18","3","0","0","0","0","0"
