Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","03/01/2019","0607","N803UA","ORD","21:20","21:40","105","94","20","21:37","3","1","0","0","0","19"
"UA","03/01/2022","1094","N852UA","ORD","20:59","20:51","109","103","-8","20:46","5","0","0","0","0","0"
"UA","03/01/2022","1200","N823UA","DEN","15:09","15:02","199","190","-7","14:56","6","0","0","0","0","0"
"UA","03/01/2022","1874","N28478","IAD","23:29","23:34","69","80","5","23:28","6","0","0","0","0","0"
"UA","03/01/2023","0604","N818UA","DEN","14:58","14:57","196","176","-1","14:51","6","0","0","0","0","0"
"UA","03/01/2023","0765","N824UA","EWR","23:12","23:08","73","75","-4","23:03","5","0","0","0","0","0"
"UA","03/01/2023","1693","N446UA","ORD","16:43","16:37","106","91","-6","16:32","5","0","0","0","0","0"
"UA","03/01/2023","1998","N815UA","ORD","21:08","20:44","109","89","-24","20:40","4","0","0","0","0","0"
"UA","03/02/2019","0607","N805UA","ORD","20:45","21:17","105","95","32","21:10","7","32","0","0","0","0"
"UA","03/02/2022","1094","N484UA","ORD","20:59","20:52","109","107","-7","20:46","6","0","0","0","0","0"
"UA","03/02/2022","1200","N4888U","DEN","15:09","14:52","199","188","-17","14:46","6","0","0","0","0","0"
"UA","03/02/2022","1874","N61882","IAD","23:29","23:30","69","72","1","23:23","7","0","0","0","0","0"
"UA","03/02/2023","0604","N852UA","DEN","14:58","15:09","196","203","11","14:50","19","0","0","0","0","0"
"UA","03/02/2023","0765","N876UA","EWR","23:12","23:20","73","89","8","23:12","8","0","0","0","0","0"
"UA","03/02/2023","1693","N409UA","ORD","16:43","16:43","106","93","0","16:37","6","0","0","0","0","0"
"UA","03/02/2023","1998","N840UA","ORD","21:08","20:52","109","96","-16","20:43","9","0","0","0","0","0"
"UA","03/03/2019","0607","N467UA","ORD","21:20","23:42","105","105","142","23:36","6","6","0","0","0","136"
"UA","03/03/2019","1419","N24706","ORD","11:45","11:49","110","97","4","11:45","4","0","0","0","0","0"
"UA","03/03/2022","1094","N827UA","ORD","20:59","21:34","109","111","35","21:28","6","33","0","2","0","0"
"UA","03/03/2022","1200","N892UA","DEN","15:09","14:52","199","185","-17","14:47","5","0","0","0","0","0"
"UA","03/03/2023","0538","","ORD","21:16","00:00","107","0","0","00:00","0","0","0","0","0","0"
"UA","03/03/2023","0604","N818UA","DEN","14:59","14:50","196","193","-9","14:39","11","0","0","0","0","0"
"UA","03/03/2023","0776","","EWR","23:11","00:00","71","0","0","00:00","0","0","0","0","0","0"
"UA","03/04/2019","0607","N843UA","ORD","21:20","21:21","105","106","1","21:16","5","0","0","0","0","0"
"UA","03/04/2022","1094","N839UA","ORD","20:58","20:32","109","90","-26","20:27","5","0","0","0","0","0"
"UA","03/04/2022","1200","N471UA","DEN","15:05","15:50","200","180","45","15:46","4","4","0","0","0","41"
"UA","03/04/2022","1874","N829UA","IAD","23:19","23:25","69","75","6","23:21","4","0","0","0","0","0"
"UA","03/04/2023","0408","N895UA","ORD","23:55","23:54","110","100","-1","23:47","7","0","0","0","0","0"
"UA","03/04/2023","0604","","DEN","14:56","00:00","196","0","0","00:00","0","0","0","0","0","0"
