DATE,tempmin,feelslikemin,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeedmax,sealevelpressure,cloudcover,visibility,severerisk,weather_code
2006-01-01,26,18.6,27.3,89.3,0.011,4.17,0,0,,6.6,1015.9,100,3.5,,rain
2006-01-02,30.8,25,31.9,91.9,0.182,29.17,0,0,,12.4,1019.5,90.4,3.7,,rain
2006-01-03,32.1,24.8,31.9,87.9,0.131,33.33,0,0,,13.5,1016.2,94.3,8.7,,rain
2006-01-04,28.2,18.3,28.3,81.6,0.124,25,0,0,,12.2,1011.7,73.5,9.3,,rain
2006-01-05,33,24.5,32.9,84.8,0.144,25,0,0,,16.9,1003.2,100,8.9,,rain
2006-01-06,20.8,6.9,20.5,80,0.003,12.5,0,0,,19,1010,98,6.3,,snow
2006-01-07,17.8,7.5,17.3,74,0.023,8.33,0,0.1,,14.5,1011,95.9,7.7,,snow
2006-01-08,28.9,20.5,25.7,72,0,0,0,0,,13.6,1013.8,91.4,8.8,,cloudy
2006-01-09,35,27.7,31.1,69.3,0,0,0,0,33.3,19.2,1013.7,99,9,,cloudy
2006-01-10,30.8,23.4,27.3,71.2,0.001,4.17,0,0,,12.3,1028.7,84.6,9.4,,rain
2006-01-11,33.2,27.7,36.1,74.6,0.184,25,0,0,32.2,21.3,1015.7,95.7,8.1,,rain
2006-01-12,34.3,29.2,33.9,69.3,0,0,0,0,,15.5,1012.7,70,9.9,,partly-cloudy-day
2006-01-13,28.5,23.4,34.2,66.1,0,0,0,0,,12.4,1007.3,59.9,9.7,,partly-cloudy-day
2006-01-14,21.8,5.4,34.9,86.9,0.535,41.67,0,0,40.3,23.6,997.4,99.9,5,,rain
2006-01-15,6.3,-8.5,4.4,68.4,0.011,4.17,0,0,38,22.6,1012.8,89.2,6.2,,snow
2006-01-16,2.2,-10.4,5.3,75,0,0,0,0,,12.4,1016.3,68.6,8.6,,partly-cloudy-day
2006-01-17,10,0.3,15.3,70.5,0.062,20.83,0,0,33.3,20.5,1015.5,75.1,9.6,,rain
2006-01-18,32,18.9,30.4,77.7,0.444,54.17,0,0,44.8,28.3,1000.3,100,8.3,,rain
2006-01-19,29,16.2,23.8,64.8,0,0,0,0,36.9,28.5,1019.3,84.4,8.9,,partly-cloudy-day
2006-01-20,43.1,39.1,33.1,54.4,0,0,0,0,,15.6,1016.4,99.8,9.9,,cloudy
